,pk,first_name,last_name,age,occupation,gender,gender_pronoun,public_info,big_five,moral_values,schwartz_personal_values,personality_and_values,decision_making_style,secret,model_id,mbti,tag
23,01H5TNE5PAZABGW79HJ07TACCZ,Mia,Davis,50,High School Principal,Woman,She/her,Mia  has two cats.,Openness to Experience - Low; Conscientiousness - Low; Extraversion - High; Agreeableness - Low; Neuroticism - High,['Authority/Subversion'],['Tradition'],"Mia , an extraverted stickler for routines, values tradition and authority. Her decision-making style is decisive and direct.",Decisive,Part of a rebellious punk rock band in her youth,,ESTP,
24,01H5TNE5P90FYSTBMW5DG5ERCG,Isabella,White,40,Veterinarian,Woman,She/her,"Isabella , a devoted veterinarian, is well-loved in her community for her kindness towards animals.",Openness to Experience - Low; Conscientiousness - High; Extraversion - Low; Agreeableness - High; Neuroticism - Low,['Care/Harm'],['Benevolence'],"Isabella , introverted and conscientious, values benevolence. Her empathy dictates her decision-making process.",Empathetic,Secretly takes care of injured animals in her basement,,ISFJ,
25,01H5TNE5PRCAF1CK5ERS5MVZ22,Amara,Hartley,29,Wildlife Biologist,Woman,She/her,Amara  spends her free time helping endangered animals and is a nature enthusiast. Her passion for animals and the environment is notable.,Openness to Experience - High; Conscientiousness - High; Extraversion - Low; Agreeableness - High; Neuroticism - Low,"['Care', ' Fairness']","['Universalism', ' Benevolence', ' Self-Direction']","Amara  is open-minded, ambiverted, and can be emotionally volatile. A believer in universalism and benevolence, Amara is analytical and intuitive in her decision-making.","Analytica, intuitive",Secretly involved in animal-rights extremism,,INFJ,
26,01H5TNE5P5EP6YJKPAT92ENQS6,Emily,Harrison,32,Librarian,Woman,She/her,"In Emily's free time, she enjoys writing and is an avid reader. Early in the mornings, she can be seen in the local park, taking long, contemplative walks.",Openness to Experience - High; Conscientiousness - High; Extraversion - Low; Agreeableness - High; Neuroticism - Low,['Care/Harm'],['Benevolence'],"Emily  is creative, thoughtful, and introverted. She values caring, often relying on her intuition to make decisions.",Intuitive,Secretly writes romance novels under a pseudonym,,INFJ,
27,01H5TNE5PE9RQGH86YM6MSWZMW,Mia,Sanders,33,Nurse,Woman,She/her,Mia  often brings her son to the hospital.,Openness to Experience - Low; Conscientiousness - High; Extraversion - Low; Agreeableness - High; Neuroticism - Low,['In-group Loyalty'],['Conformity'],"Mia , a careful follower of routines, values loyalty and conformity. Her decisions rely heavily on intuition.",Intuitive,She is a talented painter but never shares her work.,,ISFJ,
30,01H5TNE5P8F9NJ2QK2YP5HPXKH,Ava,Martinez,22,College Student,Nonbinary,They/them,"Ava  is a college student known for their active involvement in social movements on campus. Beside being passionate about social justice, they spend their free time drawing and writing poetry.",Openness to Experience - High; Conscientiousness - Low; Extraversion - High; Agreeableness - High; Neuroticism - High,['Sanctity/Degradation'],['Universalism'],"Ava  is creative and extraverted, yet emotional. Championing justice and equality, her decision-making is often flexible.",Flexible,Keeps their bisexuality a secret from her conservative family,,ENFP,
33,01H5TNE5PY896ASNX8XGQA6AE0,Hendrick,Heinz,54,Chef,Man,He/him,Hendrick  hosts monthly wine tasting nights with his peers.,Openness to Experience - Low; Conscientiousness - High; Extraversion - Low; Agreeableness - Low; Neuroticism - Low,"[""['Authority'"", "" ' Loyalty']""]","[""['Conformity'"", "" ' Security'"", "" ' Hedonism']""]","Hendrick , though somewhat impulsive, values hedonism and conformity. He combines practicality with decisiveness in decision-making.","Practical, decisive",Faked his culinary credentials to secure prestigious employment,nan,,
35,01H5TNE5P98J20AEW94XQ0KC35,Ethan,Smith,29,Software Developer,Man,He/him,Ethan enjoys reading about new technological advancements and watching documentaries.,Openness to Experience - High; Conscientiousness - Low; Extraversion - Low; Agreeableness - Low; Neuroticism - Low,['Fairness/Cheating'],['Universalism'],"Ethan  is a reserved, independent thinker. Holding universalism and fairness near, he ponders deeply before making decisions.",Rational,Secretly donates to charities for underprivileged children,,INTP,
36,01H5TNE5PAATSHM0K9ACWKN79P,Benjamin,Jackson,24,Environmental Activist,Man,He/him,Benjamin  is well-known for his impassioned speeches.,Openness to Experience - High; Conscientiousness - High; Extraversion - High; Agreeableness - High; Neuroticism - Low,['Liberty/Oppression'],['Self-Direction'],"Benjamin , expressive and imaginative, leans towards self-direction and liberty. His decisions aim for societal betterment.",Idealistic,"Descendant of a wealthy oil tycoon, rejects family fortune",,ENFJ,
38,01H5TNE5PDV7WZ0C5KTGGXX1NR,Isabelle,Martinez,22,Student,Woman,She/her,Isabelle  works part-time in a coffee shop.,Openness to Experience - High; Conscientiousness - Low; Extraversion - High; Agreeableness - High; Neuroticism - High,"[""['Liberty']""]","[""['Obedience']""]","Isabelle , an imaginative yet anxious individual, values liberty and obedience. Her cautious nature drives her decision-making process.",Cautious,She is secretly studying magic.,nan,,
39,01H5TNE5PPK39HR52G61PQ5KQ7,Zane,Bennett,38,Graphic Designer,Man,He/him,Zane  finds solace in music and often plays the guitar in his downtime.,Openness to Experience - High; Conscientiousness - High; Extraversion - High; Agreeableness - High; Neuroticism - Low,['Fairness/Reciprocity'],['Achievement'],"Zane  is creative and outgoing, he values achievement and fairness. His decision-making is unique, often finding novel solutions to problems.",Creative,He's secretly engaged to his best friend's ex.,,ENFJ,
